state_name,year,cropland_percent,kharif_ndvi,rabi_ndvi,evi_mean,evi_max
Andaman and Nicobar,2021,0.11924250613455892,0.619651880077872,0.7914446862208535,0.48574034029713414,0.7075252555069094
Andhra Pradesh,2021,73.72077528485849,0.5335473653139383,0.5018269493128021,0.3082861709836175,0.5218689976536045
Arunachal Pradesh,2021,10.401126481463937,0.6156930584689466,0.7305089135959298,0.38279139978893834,0.625832396152644
Assam,2021,47.888464578399024,0.5967291949455557,0.5323392675888574,0.3560234568530893,0.5745165370621411
Bihar,2021,90.94006239426213,0.4975233649742656,0.44714019555916196,0.2888112692373052,0.5561300201434175
Chandigarh,2021,7.707811489142877,0.5131326215490327,0.4011977270354658,0.2613026863358458,0.4136209321527205
Chhattisgarh,2021,48.54543138659969,0.5612169273036552,0.4788466524087854,0.3076340807996998,0.5798346160039383
Dadra and Nagar Haveli,2021,92.5998722812518,0.5651769845647269,0.4551411376785313,0.30648655371120426,0.6043609014206285
Daman and Diu,2021,38.20283873141564,0.48032722327836963,0.46523268234088083,0.2903413623080298,0.5377569962943073
Delhi,2021,34.86011308272634,0.39176158184480453,0.35973855521259546,0.232121702701351,0.4043679984292817
Goa,2021,17.569571170918017,0.5046321674299167,0.6731573644675085,0.3786588798976971,0.6426252680202653
Gujarat,2021,73.4742165326813,0.4114065225881277,0.40883177361447204,0.24963943419562165,0.4603943261515067
Haryana,2021,94.84581270976882,0.48191206376551343,0.5360880599946904,0.31006760811115003,0.5814957095685038
Himachal Pradesh,2021,5.095345077099309,0.449964658091519,0.2719077404991821,0.18233765688838816,0.3718885399963178
Jharkhand,2021,73.8940014182025,0.6083641120337654,0.4342666448181604,0.3156296466962488,0.5762998350356344
Karnataka,2021,73.26390132422308,0.4744556768216838,0.49658738678854414,0.29989115765629837,0.513885290651428
Kerala,2021,24.385100974527617,0.5497552206699308,0.7491432432113144,0.41553460212866,0.6220931167886864
Lakshadweep,2021,0,0.4508188901025157,0.5464790702658467,0.25308586365607766,0.39998065589353615
Madhya Pradesh,2021,76.52032117325743,0.4786843432619478,0.46868057030079247,0.2700685360341257,0.5528881690724126
Maharashtra,2021,80.7955862631233,0.5080488693788757,0.4544523951491018,0.2796915748368602,0.5495056272142219
Manipur,2021,9.038345054488193,0.6170059745359907,0.7205733373964782,0.42796916883571867,0.6936983604982169
Meghalaya,2021,3.0017708848057234,0.6299375022784202,0.6688491851039494,0.40880324287593034,0.6412451179025076
Mizoram,2021,0.23242423323203867,0.715416683049941,0.773944641805239,0.5007706089969081,0.7603332697087769
Nagaland,2021,2.2690234907851763,0.6877609316034119,0.7380050357350854,0.4482730588726731,0.7164771078809691
Orissa,2021,56.29718285949728,0.5961663328571223,0.4913341657319491,0.3394734097817995,0.5987259918250052
Puducherry,2021,54.817955476662775,0.5362583016851249,0.5656688291097068,0.3278493048816187,0.48396454213833834
Punjab,2021,94.23899448438712,0.5630490233181172,0.5581923887273895,0.3347943715288177,0.6490510254203621
Rajasthan,2021,61.673012071429014,0.33623524603510696,0.29726468113574744,0.19810220972582698,0.3766174548848475
Sikkim,2021,0.10846942272822133,0.35556398730552835,0.3951303769926816,0.1964190401841607,0.4168840869160021
Tamil Nadu,2021,78.4358464933971,0.5292100317135435,0.5585768862284902,0.330904878690916,0.5090980746729473
Tripura,2021,16.145504643207943,0.6880516255588318,0.6612940661409699,0.4427892951772079,0.6912086973088585
Uttar Pradesh,2021,93.67460190480494,0.526665453897024,0.49095822867235256,0.3120772925432606,0.5635112343295937
Uttarakhand,2021,11.825482307728647,0.5598135885481388,0.44022197038530303,0.2671053194756124,0.49886929746593567
West Bengal,2021,82.38062838282552,0.5415411971594524,0.4434470199946752,0.315275376965504,0.5748619877431732
