state_name,year,ndvi_mean,ndvi_stddev,ndvi_min,ndvi_max
Andaman and Nicobar,2021,0.7128969402585046,0.12493648551491413,-0.1957,0.9965
Andhra Pradesh,2021,0.5015222896915998,0.1013030219740984,-0.1856,0.8771
Arunachal Pradesh,2021,0.6683537388473187,0.1341490780528186,-0.02248695652173913,0.8632869565217391
Assam,2021,0.5718533507227624,0.16787147043907197,-0.11270434782608695,0.860704347826087
Bihar,2021,0.4619442850202908,0.08456428793158148,-0.07834782608695652,0.7734913043478261
Chandigarh,2021,0.4475974556496487,0.059472964035781846,0.29432608695652174,0.6099391304347827
Chhattisgarh,2021,0.5140272226772183,0.09076167496825017,-0.06392,0.8000565217391304
Dadra and Nagar Haveli,2021,0.5049665023018207,0.0576833976000524,0.06340434782608696,0.6632086956521739
Daman and Diu,2021,0.4648677301410565,0.10297599801168374,-0.06772,0.6194652173913043
Delhi,2021,0.3696906305388083,0.0898426074006942,0.12719565217391304,0.6025521739130435
Goa,2021,0.6106435805581467,0.07948988377101936,-0.03543846153846154,0.7838
Gujarat,2021,0.3990121580843357,0.12361255605084519,-0.1919,0.7156695652173913
Haryana,2021,0.4594439660535634,0.06401530494256905,0.1452608695652174,0.778495652173913
Himachal Pradesh,2021,0.3565291727705476,0.2907506676826942,-0.10240833333333332,0.8152521739130435
Jharkhand,2021,0.5157322485291379,0.0817010216086036,-0.07258421052631579,0.7895173913043478
Karnataka,2021,0.4870011341316844,0.10263198090615532,-0.1308294117647059,0.8378652173913044
Kerala,2021,0.6503574537528307,0.07709048528441582,-0.1743,0.8981
Lakshadweep,2021,0.4667804958005193,0.17435260779645737,-0.051075,0.7133
Madhya Pradesh,2021,0.44709357379498504,0.07297359976739186,-0.14623333333333333,0.7601739130434783
Maharashtra,2021,0.46941561362874407,0.07543127058954467,-0.11107619047619048,0.7783
Manipur,2021,0.6754044855376781,0.10414642201753127,0.06990869565217392,0.862691304347826
Meghalaya,2021,0.6643037077855412,0.08031587328391467,0.2034434782608696,0.8455217391304348
Mizoram,2021,0.7434688288266184,0.05210612635719911,0.35499565217391305,0.8753217391304348
Nagaland,2021,0.7129236244101053,0.06863187639608215,0.16281304347826087,0.871208695652174
Orissa,2021,0.5497561834698044,0.09909070813783248,-0.1934,0.822795652173913
Puducherry,2021,0.5351689293413895,0.10329881909786197,-0.014063636363636363,0.7562434782608696
Punjab,2021,0.5031165421279475,0.049419912200943224,0.018205000000000002,0.7332478260869565
Rajasthan,2021,0.3010841076820754,0.12598158214392993,-0.1041590909090909,0.6966826086956522
Sikkim,2021,0.37526354224516933,0.2747804821988464,-0.09896521739130434,0.8382652173913044
Tamil Nadu,2021,0.5276633479339207,0.0970375483108756,-0.18763333333333332,0.8207391304347826
Tripura,2021,0.6835077277093209,0.07562240089643023,0.10942608695652174,0.840008695652174
Uttar Pradesh,2021,0.47784593009785375,0.07136948175077767,-0.1334909090909091,0.7954695652173913
Uttarakhand,2021,0.4933076260019948,0.24259221418292154,-0.10158695652173913,0.8238478260869566
West Bengal,2021,0.5130608470062716,0.09307879655840831,-0.1826,0.8722
